State,Year,Pop12_17,Pop18_25,Pop26Plus,Alc12_17,Alc18_25,Alc26Plus,Mar1_17,Mar18_25,Mar26Plus,Tob12_17,Tob18_25,Tob26Plus,Division,Region
Illinois,2002,1082396,1380990,7825956,0.186514,0.641621,0.54097,0.07609,0.174317,0.032348,0.149729,0.466831,0.303276,East North Central,Midwest
Indiana,2002,541577,704733,3788500,0.160356,0.617812,0.48156,0.073669,0.17192,0.039114,0.168401,0.492962,0.324224,East North Central,Midwest
Iowa,2002,246347,351217,1847207,0.201838,0.672779,0.577894,0.071008,0.131444,0.030436,0.163386,0.486748,0.294414,West North Central,Midwest
Kansas,2002,241178,319425,1645149,0.194089,0.658914,0.49965,0.073894,0.139181,0.027944,0.155676,0.456805,0.307314,West North Central,Midwest
Kentucky,2002,327727,454574,2605898,0.187496,0.580701,0.402697,0.081571,0.141548,0.038175,0.23177,0.588839,0.385381,East South Central,South
Louisiana,2002,406965,537725,2668243,0.193519,0.614114,0.472993,0.069216,0.170381,0.033271,0.175791,0.482136,0.318712,West South Central,South
Maine,2002,108861,130511,869560,0.165458,0.667566,0.544405,0.105597,0.232175,0.05334,0.135548,0.504427,0.306937,New England,Northeast
Maryland,2002,476696,536352,3466746,0.171366,0.642148,0.583384,0.078684,0.19434,0.032664,0.127003,0.420454,0.267636,South Atlantic,South
Massachusetts,2002,508325,672543,4201348,0.210427,0.689414,0.62754,0.105302,0.245414,0.047945,0.143674,0.425295,0.248799,New England,Northeast
Michigan,2002,895753,1091376,6298792,0.192279,0.662977,0.565363,0.092345,0.184877,0.049524,0.158902,0.4764,0.323166,East North Central,Midwest
Minnesota,2002,446545,572795,3154577,0.195399,0.706784,0.617306,0.089218,0.174902,0.03995,0.176944,0.513143,0.297813,West North Central,Midwest
Mississippi,2002,257508,347410,1704672,0.14725,0.502384,0.357169,0.060446,0.129855,0.027446,0.1657,0.477678,0.358719,East South Central,South
Missouri,2002,491394,628542,3550250,0.196656,0.645202,0.558463,0.074293,0.185535,0.04591,0.210137,0.517593,0.361885,West North Central,Midwest
Montana,2002,81697,103338,578710,0.24731,0.692946,0.571854,0.120712,0.206639,0.067083,0.211585,0.537626,0.32515,Mountain,West
Nebraska,2002,152465,204600,1058402,0.222444,0.683843,0.557695,0.091303,0.156064,0.03656,0.188572,0.488099,0.287566,West North Central,Midwest
Nevada,2002,184670,215631,1379759,0.183959,0.563721,0.541201,0.095757,0.182867,0.056828,0.153051,0.423759,0.364718,Mountain,West
New Hampshire,2002,113457,129505,830689,0.214371,0.71778,0.632042,0.117852,0.27308,0.073608,0.168226,0.503318,0.30858,New England,Northeast
New Jersey,2002,719658,791085,5586200,0.187738,0.650646,0.617177,0.073316,0.178881,0.029299,0.136501,0.444463,0.26038,Middle Atlantic,Northeast
New Mexico,2002,176611,210636,1122984,0.206727,0.607794,0.496692,0.103467,0.189767,0.047416,0.153652,0.452628,0.281426,Mountain,West
New York,2002,1562426,2036478,12316861,0.19495,0.643389,0.575879,0.087551,0.2144,0.048169,0.127821,0.436408,0.283994,Middle Atlantic,Northeast
North Carolina,2002,685632,875677,5204654,0.161247,0.564304,0.411755,0.084415,0.172157,0.036594,0.179678,0.501347,0.35882,South Atlantic,South
North Dakota,2002,54387,82312,389658,0.252281,0.730577,0.59418,0.075777,0.153455,0.029425,0.208779,0.497384,0.304989,West North Central,Midwest
Ohio,2002,987986,1231294,7182193,0.175182,0.654017,0.542037,0.087426,0.182232,0.041688,0.172683,0.517914,0.359106,East North Central,Midwest
Oklahoma,2002,302673,411137,2120890,0.160402,0.582308,0.438116,0.081258,0.155086,0.033051,0.175973,0.529603,0.351604,West South Central,South
Oregon,2002,297076,385140,2261755,0.170724,0.653151,0.557883,0.093118,0.221709,0.06573,0.144231,0.46634,0.294629,Pacific,West
Pennsylvania,2002,1028108,1290045,8009346,0.180594,0.64847,0.53138,0.081782,0.176562,0.033748,0.167494,0.501746,0.322407,Middle Atlantic,Northeast
Rhode Island,2002,85295,126228,688500,0.221236,0.760744,0.603798,0.108629,0.299258,0.056975,0.161285,0.514588,0.292877,New England,Northeast
South Carolina,2002,345629,458404,2574050,0.143611,0.610973,0.46355,0.072508,0.164647,0.035231,0.155174,0.480562,0.312678,South Atlantic,South
South Dakota,2002,69742,90990,459901,0.220714,0.71492,0.569772,0.095658,0.146648,0.027378,0.228239,0.57695,0.325339,West North Central,Midwest
Tennessee,2002,473558,621828,3699537,0.132671,0.465011,0.374836,0.063729,0.133951,0.028782,0.171688,0.46302,0.33858,East South Central,South
Texas,2002,2018953,2512206,12788834,0.175641,0.579855,0.498598,0.063776,0.128555,0.029508,0.134548,0.424743,0.297251,West South Central,South
Utah,2002,229447,360378,1222045,0.102277,0.357401,0.313957,0.052963,0.095254,0.021456,0.084312,0.254586,0.200878,Mountain,West
Vermont,2002,53924,69851,403822,0.220026,0.734525,0.606911,0.133166,0.269528,0.063394,0.183272,0.526411,0.284898,New England,Northeast
Virginia,2002,607438,739131,4560096,0.184045,0.612548,0.539104,0.084252,0.177012,0.037254,0.154004,0.478298,0.286994,South Atlantic,South
Washington,2002,528622,653701,3825493,0.181542,0.636599,0.603291,0.091051,0.212184,0.048161,0.13219,0.458073,0.253699,Pacific,West
West Virginia,2002,139163,194555,1197550,0.182759,0.531757,0.368105,0.086249,0.146717,0.031698,0.213435,0.542628,0.362965,South Atlantic,South
Wisconsin,2002,482686,620505,3425585,0.213926,0.72052,0.604803,0.077073,0.159801,0.031789,0.173023,0.504131,0.288415,East North Central,Midwest
Wyoming,2002,45377,59114,310110,0.183034,0.664784,0.543541,0.071356,0.155898,0.032719,0.163419,0.551839,0.325479,Mountain,West
Alabama,2003,381563,503783,2834977,0.156793,0.517024,0.400951,0.064254,0.137853,0.028499,0.174335,0.472788,0.350657,East South Central,South
Alaska,2003,68492,69578,370098,0.159795,0.578337,0.539139,0.120174,0.23009,0.070333,0.158711,0.478284,0.287057,Pacific,West
Arizona,2003,498693,621802,3424675,0.189373,0.577218,0.527693,0.083331,0.149255,0.039126,0.145958,0.386757,0.282873,Mountain,West
Arkansas,2003,233184,306999,1703727,0.17546,0.560402,0.41053,0.084435,0.160746,0.036007,0.173997,0.527845,0.359028,West South Central,South
California,2003,3209345,3949889,21686129,0.168149,0.558465,0.54634,0.08516,0.162333,0.04698,0.10876,0.349357,0.195433,Pacific,West
Colorado,2003,388793,501011,2828830,0.21555,0.694074,0.619989,0.098274,0.189069,0.049513,0.173297,0.496077,0.29259,Mountain,West
Connecticut,2003,295229,336200,2259754,0.208635,0.737902,0.637355,0.086594,0.240934,0.043078,0.167462,0.460157,0.255474,New England,Northeast
Delaware,2003,67658,90513,522123,0.169463,0.649068,0.525786,0.074743,0.209699,0.03543,0.153362,0.449379,0.274026,South Atlantic,South
District of Columbia,2003,33384,70483,367787,0.122514,0.649751,0.584301,0.058815,0.199276,0.051537,0.089747,0.35706,0.288755,South Atlantic,South
Florida,2003,1376459,1658368,11277251,0.171702,0.590095,0.539709,0.072949,0.165227,0.041276,0.123377,0.415047,0.281421,South Atlantic,South
Georgia,2003,763519,967105,5276693,0.155882,0.541033,0.48247,0.063446,0.131677,0.039331,0.148415,0.420175,0.309671,South Atlantic,South
Hawaii,2003,100549,121734,791438,0.164403,0.60308,0.511814,0.097143,0.166165,0.045824,0.123858,0.386069,0.217209,Pacific,West
Idaho,2003,127839,168848,815805,0.172111,0.560028,0.50806,0.07293,0.11263,0.031254,0.145137,0.440388,0.252746,Mountain,West
Illinois,2003,1089901,1400520,7863343,0.175495,0.656824,0.558261,0.063355,0.166403,0.037179,0.133493,0.479312,0.309798,East North Central,Midwest
Indiana,2003,546518,711380,3816240,0.162039,0.612815,0.492214,0.076125,0.146987,0.036302,0.144536,0.481957,0.319188,East North Central,Midwest
Iowa,2003,243608,354296,1860596,0.195953,0.712631,0.552562,0.063757,0.130912,0.028953,0.147,0.506389,0.30249,West North Central,Midwest
Kansas,2003,237856,324390,1655732,0.194739,0.660288,0.492952,0.076294,0.136021,0.029683,0.173381,0.498929,0.325336,West North Central,Midwest
Kentucky,2003,336908,453011,2611452,0.195293,0.573879,0.403636,0.087537,0.154658,0.045829,0.243006,0.560782,0.379716,East South Central,South
Louisiana,2003,403315,543941,2685275,0.184191,0.595772,0.475079,0.064466,0.149076,0.031175,0.147618,0.453873,0.327681,West South Central,South
Maine,2003,109954,134241,875886,0.17409,0.638077,0.515779,0.116931,0.240029,0.05421,0.153424,0.511332,0.311171,New England,Northeast
Maryland,2003,485901,556047,3492188,0.16187,0.640565,0.54679,0.07422,0.180508,0.03242,0.121713,0.418657,0.26382,South Atlantic,South
Massachusetts,2003,512838,676402,4189790,0.218073,0.707125,0.64212,0.102753,0.261292,0.057023,0.137176,0.455082,0.244559,New England,Northeast
Michigan,2003,902553,1108787,6328980,0.182149,0.660801,0.550999,0.087733,0.189878,0.049494,0.154904,0.486272,0.317364,East North Central,Midwest
Minnesota,2003,442828,587599,3185052,0.185624,0.690293,0.608333,0.08081,0.161686,0.039921,0.161374,0.501549,0.284617,West North Central,Midwest
Mississippi,2003,256982,349332,1720516,0.137503,0.507433,0.373632,0.056121,0.10953,0.026669,0.153381,0.481828,0.337027,East South Central,South
Missouri,2003,490972,642988,3583670,0.201995,0.637907,0.513631,0.08173,0.164714,0.043285,0.20329,0.507821,0.355736,West North Central,Midwest
Montana,2003,79960,106615,588167,0.22997,0.714956,0.576243,0.100044,0.201614,0.054534,0.210296,0.530326,0.321993,Mountain,West
Nebraska,2003,150669,208757,1065283,0.200955,0.711813,0.57319,0.073885,0.143892,0.032371,0.161352,0.481728,0.274905,West North Central,Midwest
Nevada,2003,192336,228424,1437719,0.174098,0.562625,0.494352,0.078151,0.15239,0.044945,0.134915,0.423571,0.307004,Mountain,West
New Hampshire,2003,114731,134285,839848,0.21567,0.733647,0.633014,0.103086,0.241357,0.060094,0.155806,0.482125,0.287754,New England,Northeast
New Jersey,2003,733853,816302,5595385,0.188221,0.637892,0.562411,0.069495,0.176135,0.029026,0.140126,0.424189,0.23951,Middle Atlantic,Northeast
New Mexico,2003,175489,218107,1142829,0.20331,0.596785,0.490229,0.119052,0.21102,0.057905,0.167889,0.4428,0.275789,Mountain,West
New York,2003,1571709,2047533,12344264,0.19007,0.641408,0.559801,0.08462,0.214597,0.049672,0.124926,0.430314,0.273728,Middle Atlantic,Northeast
North Carolina,2003,701982,889092,5275688,0.149474,0.5425,0.419666,0.07391,0.153329,0.037514,0.17203,0.479412,0.341254,South Atlantic,South
North Dakota,2003,52643,82943,392000,0.233857,0.756124,0.607165,0.074929,0.147169,0.034547,0.206885,0.49627,0.316839,West North Central,Midwest
Ohio,2003,983181,1251526,7227097,0.172421,0.635106,0.539708,0.08212,0.166232,0.039946,0.168552,0.500881,0.343989,East North Central,Midwest
Oklahoma,2003,296942,415680,2144532,0.17396,0.591356,0.428716,0.077585,0.157034,0.033586,0.185022,0.536814,0.347447,West South Central,South
Oregon,2003,297247,392447,2296726,0.187788,0.667726,0.571727,0.097435,0.210715,0.055796,0.147403,0.45566,0.278687,Pacific,West
Pennsylvania,2003,1034227,1315867,8027780,0.177508,0.650398,0.54543,0.077523,0.177426,0.038676,0.158489,0.498761,0.318722,Middle Atlantic,Northeast
Rhode Island,2003,87330,127440,690482,0.202576,0.736924,0.632518,0.10965,0.254231,0.059219,0.155801,0.454453,0.293567,New England,Northeast
South Carolina,2003,356468,460716,2594007,0.144041,0.591945,0.450438,0.067279,0.155301,0.038782,0.151163,0.485853,0.309004,South Atlantic,South
South Dakota,2003,68362,93146,464319,0.233748,0.722977,0.593387,0.069036,0.12931,0.029924,0.212527,0.560208,0.332567,West North Central,Midwest
Tennessee,2003,475614,636601,3743398,0.14084,0.505983,0.384253,0.061429,0.128083,0.035764,0.161416,0.45271,0.330067,East South Central,South
Texas,2003,2038642,2577160,12992311,0.166871,0.554831,0.497565,0.059671,0.126078,0.029156,0.129632,0.419642,0.305341,West South Central,South
Utah,2003,229590,356134,1248593,0.112817,0.348467,0.310155,0.047351,0.096118,0.025912,0.086903,0.259568,0.205568,Mountain,West
Vermont,2003,53561,70579,408025,0.199495,0.711052,0.608065,0.111069,0.263493,0.057314,0.174278,0.524394,0.278854,New England,Northeast
Virginia,2003,617003,757538,4614672,0.157544,0.642833,0.525515,0.067629,0.161315,0.034386,0.133735,0.478466,0.291278,South Atlantic,South
Washington,2003,527419,676016,3890656,0.180663,0.618951,0.608745,0.079838,0.172785,0.042504,0.131668,0.439667,0.264581,Pacific,West
West Virginia,2003,138269,195092,1205827,0.157804,0.545344,0.362068,0.077668,0.156707,0.037354,0.19661,0.569598,0.38954,South Atlantic,South
Wisconsin,2003,478926,633007,3459808,0.24443,0.75455,0.648199,0.083605,0.158904,0.035524,0.178645,0.499204,0.286395,East North Central,Midwest
Wyoming,2003,43883,60860,315000,0.183171,0.670464,0.530497,0.068655,0.163696,0.034978,0.173715,0.519051,0.311386,Mountain,West
Alabama,2004,380150,506120,2871062,0.159748,0.526256,0.436939,0.067209,0.139538,0.030454,0.159465,0.462976,0.325489,East South Central,South
Alaska,2004,68162,73462,373429,0.14672,0.574423,0.557079,0.097076,0.213588,0.07992,0.151392,0.475562,0.2889,Pacific,West
Arizona,2004,510698,643907,3549522,0.180065,0.612674,0.597332,0.082033,0.131478,0.035071,0.136778,0.409396,0.25999,Mountain,West
Arkansas,2004,232095,310177,1729803,0.164473,0.532127,0.403149,0.078314,0.144019,0.036164,0.162023,0.503489,0.346079,West South Central,South
California,2004,3290671,3974135,21850567,0.162028,0.550198,0.543667,0.074991,0.161887,0.048548,0.108731,0.340423,0.204054,Pacific,West
Colorado,2004,392822,506705,2865042,0.205158,0.692976,0.629929,0.092432,0.209658,0.049365,0.159287,0.47022,0.250279,Mountain,West
Connecticut,2004,299013,344048,2265842,0.209427,0.714419,0.650695,0.088786,0.237435,0.049532,0.155153,0.455692,0.251271,New England,Northeast
Delaware,2004,67454,92253,534950,0.16413,0.632011,0.515899,0.072388,0.201966,0.036341,0.147714,0.446933,0.292493,South Atlantic,South
District of Columbia,2004,34350,65197,364207,0.127021,0.689295,0.608994,0.068732,0.18751,0.0525,0.093329,0.392593,0.282272,South Atlantic,South
Florida,2004,1404055,1719548,11530104,0.170062,0.585913,0.553466,0.072884,0.179681,0.039199,0.119509,0.419212,0.287626,South Atlantic,South
Georgia,2004,775954,990545,5412379,0.145233,0.521632,0.468776,0.060679,0.145383,0.039364,0.12833,0.40219,0.302034,South Atlantic,South
Hawaii,2004,100585,123191,796942,0.137357,0.577742,0.496298,0.076051,0.166669,0.043639,0.102966,0.394285,0.213193,Pacific,West
Idaho,2004,127552,172734,841609,0.158793,0.538017,0.49532,0.06241,0.128033,0.032856,0.131444,0.448147,0.260623,Mountain,West
Illinois,2004,1099965,1406715,7910382,0.172415,0.652046,0.573549,0.063461,0.159448,0.036338,0.128081,0.476212,0.310192,East North Central,Midwest
Indiana,2004,549720,709599,3856681,0.171187,0.613369,0.52501,0.065375,0.143653,0.032385,0.141892,0.482354,0.325131,East North Central,Midwest
Iowa,2004,240059,353384,1883725,0.18266,0.692791,0.562753,0.059806,0.116811,0.02639,0.146149,0.51143,0.297108,West North Central,Midwest
Kansas,2004,233656,327533,1673455,0.194527,0.653495,0.536751,0.067931,0.138761,0.033846,0.166051,0.487933,0.322289,West North Central,Midwest
Kentucky,2004,336219,453022,2645240,0.170141,0.555995,0.436563,0.077336,0.146774,0.044524,0.21038,0.532258,0.379762,East South Central,South
Louisiana,2004,398611,545993,2712415,0.175912,0.588008,0.486077,0.05755,0.147423,0.036523,0.122077,0.43767,0.329901,West South Central,South
Maine,2004,108414,137266,884793,0.191361,0.640062,0.535076,0.122692,0.245915,0.056045,0.179784,0.519489,0.2972,New England,Northeast
Maryland,2004,492847,571917,3512136,0.157054,0.62877,0.56688,0.068759,0.138594,0.034192,0.120622,0.400281,0.260268,South Atlantic,South
Massachusetts,2004,511301,676924,4186567,0.19113,0.706,0.627074,0.094944,0.248787,0.045276,0.139535,0.466155,0.26409,New England,Northeast
Michigan,2004,907902,1111809,6354775,0.170886,0.663014,0.573559,0.07494,0.185745,0.045143,0.139493,0.499302,0.322954,East North Central,Midwest
Minnesota,2004,437674,597384,3220581,0.191804,0.697072,0.64988,0.078223,0.167382,0.050562,0.158214,0.508943,0.278085,West North Central,Midwest
Mississippi,2004,255659,348523,1747645,0.154336,0.490363,0.388664,0.057937,0.115524,0.032954,0.138222,0.463276,0.324087,East South Central,South
Missouri,2004,486907,653900,3636194,0.199586,0.656337,0.497062,0.075349,0.148988,0.035952,0.192146,0.516044,0.354702,West North Central,Midwest
Montana,2004,77617,108976,599979,0.212242,0.704309,0.594358,0.094964,0.21053,0.056534,0.195461,0.514745,0.334907,Mountain,West
Nebraska,2004,148189,210903,1077324,0.18629,0.712998,0.576103,0.058813,0.147327,0.030151,0.156024,0.455191,0.274478,West North Central,Midwest
Nevada,2004,201110,239773,1493077,0.165562,0.573268,0.509487,0.069756,0.160589,0.043769,0.128159,0.436766,0.311196,Mountain,West
New Hampshire,2004,115243,136890,849273,0.180916,0.718355,0.625445,0.085894,0.235917,0.049026,0.134542,0.472864,0.266194,New England,Northeast
New Jersey,2004,745809,832522,5605723,0.187698,0.624097,0.580608,0.064651,0.160273,0.033165,0.132972,0.41858,0.246719,Middle Atlantic,Northeast
New Mexico,2004,173285,224690,1167618,0.180885,0.571488,0.509422,0.091131,0.177055,0.041586,0.151442,0.45359,0.264892,Mountain,West
New York,2004,1584677,2050011,12371557,0.187494,0.632971,0.568822,0.083994,0.209001,0.048544,0.127407,0.430356,0.270107,Middle Atlantic,Northeast
North Carolina,2004,715542,897851,5379787,0.149213,0.55478,0.454892,0.078243,0.150217,0.037955,0.171073,0.48697,0.319501,South Atlantic,South
North Dakota,2004,50426,82738,398634,0.200367,0.745569,0.61149,0.05815,0.112714,0.032115,0.175654,0.498668,0.306628,West North Central,Midwest
Ohio,2004,980119,1257858,7263612,0.163662,0.637076,0.534861,0.074304,0.159989,0.040702,0.160062,0.496781,0.329131,East North Central,Midwest
Oklahoma,2004,292067,418925,2171414,0.174139,0.555151,0.431921,0.071047,0.136224,0.032913,0.177214,0.506259,0.32637,West South Central,South
Oregon,2004,297935,396541,2331124,0.183217,0.641294,0.602206,0.093038,0.209227,0.061115,0.144595,0.465158,0.282582,Pacific,West
Pennsylvania,2004,1035623,1322980,8059411,0.16685,0.648453,0.555515,0.068805,0.180233,0.040446,0.154461,0.488356,0.311264,Middle Atlantic,Northeast
Rhode Island,2004,88122,125374,691117,0.197872,0.73046,0.632546,0.108239,0.264648,0.055065,0.146075,0.450151,0.277199,New England,Northeast
South Carolina,2004,358954,464027,2642693,0.136722,0.527928,0.452429,0.064288,0.144414,0.03736,0.151295,0.476915,0.328251,South Atlantic,South
South Dakota,2004,66529,94332,472172,0.220283,0.723589,0.624518,0.067938,0.13398,0.030561,0.191031,0.497978,0.304797,West North Central,Midwest
Tennessee,2004,477163,642419,3799709,0.143426,0.551061,0.417646,0.059808,0.149332,0.043099,0.168068,0.494018,0.354959,East South Central,South
Texas,2004,2052845,2628020,13267576,0.169129,0.576487,0.517347,0.05764,0.127259,0.02875,0.118151,0.421485,0.300891,West South Central,South
Utah,2004,226903,358089,1304188,0.120789,0.349123,0.318218,0.056855,0.099034,0.032414,0.103961,0.295536,0.20927,Mountain,West
Vermont,2004,52660,70932,411991,0.18631,0.714039,0.622632,0.105406,0.266726,0.058381,0.164353,0.526462,0.278244,New England,Northeast
Virginia,2004,622210,774068,4680347,0.139308,0.641648,0.540749,0.053064,0.144694,0.032462,0.130174,0.480351,0.283989,South Atlantic,South
Washington,2004,527538,692546,3955836,0.15784,0.62851,0.607444,0.068282,0.181058,0.051166,0.11657,0.432936,0.267181,Pacific,West
West Virginia,2004,136919,192780,1215454,0.164745,0.53826,0.353272,0.06997,0.17432,0.038781,0.194868,0.55947,0.409574,South Atlantic,South
Wisconsin,2004,472397,638835,3502106,0.225888,0.757173,0.691066,0.081269,0.164515,0.038456,0.164462,0.489458,0.30931,East North Central,Midwest
Wyoming,2004,42257,61866,321211,0.191671,0.66671,0.548405,0.068798,0.153272,0.036485,0.175905,0.486302,0.310362,Mountain,West
Alabama,2005,384026,504331,2899055,0.159487,0.534311,0.439526,0.061922,0.122741,0.032476,0.151477,0.460172,0.339205,East South Central,South
Alaska,2005,66349,74227,382565,0.148154,0.580497,0.578911,0.081717,0.195438,0.070095,0.149735,0.474699,0.291206,Pacific,West
Arizona,2005,522702,660913,3704157,0.17242,0.605831,0.582075,0.070266,0.142046,0.0333,0.133603,0.419493,0.277115,Mountain,West
Arkansas,2005,233328,306500,1755313,0.176092,0.540685,0.441027,0.076082,0.145323,0.039432,0.163672,0.508818,0.358166,West South Central,South
California,2005,3293484,4085207,22046720,0.147934,0.581314,0.543031,0.065814,0.170162,0.047801,0.094911,0.343297,0.224262,Pacific,West
Colorado,2005,389561,513260,2938592,0.18184,0.687396,0.621987,0.076013,0.211807,0.054475,0.142275,0.459398,0.248419,Mountain,West
Connecticut,2005,299315,349035,2272942,0.201099,0.718179,0.645445,0.083256,0.232076,0.050964,0.124627,0.47102,0.237958,New England,Northeast
Delaware,2005,69102,92344,541851,0.161926,0.635021,0.540402,0.071832,0.179073,0.03699,0.125187,0.420899,0.27934,South Atlantic,South
District of Columbia,2005,36509,71305,369695,0.136044,0.72325,0.626065,0.067504,0.196141,0.064096,0.093525,0.393764,0.286784,South Atlantic,South
Florida,2005,1405376,1765323,11819668,0.166459,0.586429,0.569127,0.070002,0.178459,0.03697,0.115192,0.412222,0.281261,South Atlantic,South
Georgia,2005,800536,1007170,5604242,0.143651,0.531554,0.477255,0.059989,0.149745,0.041792,0.121162,0.40583,0.296738,South Atlantic,South
Hawaii,2005,101214,124633,806534,0.131509,0.581304,0.492715,0.069585,0.158113,0.038415,0.091451,0.365932,0.215681,Pacific,West
Idaho,2005,130072,171005,869082,0.161244,0.512232,0.500358,0.059884,0.139073,0.035053,0.124741,0.419299,0.270576,Mountain,West
Illinois,2005,1100792,1422772,7966227,0.171324,0.648097,0.552734,0.067059,0.153999,0.034019,0.127984,0.453988,0.296557,East North Central,Midwest
Indiana,2005,546441,702749,3913195,0.148633,0.616211,0.519266,0.062534,0.15554,0.035959,0.142006,0.487001,0.332198,East North Central,Midwest
Iowa,2005,244036,348756,1887732,0.183902,0.670093,0.551174,0.063716,0.129378,0.028969,0.158147,0.500509,0.301937,West North Central,Midwest
Kansas,2005,234307,324975,1685072,0.19213,0.670488,0.553812,0.066132,0.148447,0.039833,0.159565,0.486541,0.321788,West North Central,Midwest
Kentucky,2005,339347,443407,2675718,0.158866,0.553492,0.436252,0.065046,0.140208,0.032758,0.194785,0.558006,0.378294,East South Central,South
Louisiana,2005,385359,523857,2663520,0.173685,0.577967,0.517197,0.05673,0.14668,0.037226,0.129962,0.439515,0.337145,West South Central,South
Maine,2005,107149,133984,891125,0.18942,0.666888,0.572618,0.108556,0.277002,0.061564,0.160925,0.512287,0.299347,New England,Northeast
Maryland,2005,488407,582701,3545971,0.152849,0.629604,0.568285,0.055088,0.133087,0.032514,0.110372,0.395232,0.252953,South Atlantic,South
Massachusetts,2005,510948,693784,4187314,0.175309,0.702722,0.607831,0.088583,0.242636,0.052591,0.142218,0.450803,0.272846,New England,Northeast
Michigan,2005,901407,1105696,6379828,0.164244,0.685788,0.596636,0.072662,0.170458,0.04478,0.134076,0.49924,0.322647,East North Central,Midwest
Minnesota,2005,437254,593399,3249410,0.185824,0.719822,0.6554,0.074983,0.171435,0.053038,0.153076,0.516734,0.282799,West North Central,Midwest
Mississippi,2005,257913,339363,1758458,0.142269,0.471601,0.383249,0.05477,0.127719,0.035348,0.130667,0.446542,0.339262,East South Central,South
Missouri,2005,490572,648988,3671275,0.175622,0.656774,0.517673,0.064215,0.144614,0.036854,0.158755,0.494245,0.354124,West North Central,Midwest
Montana,2005,77917,107581,605606,0.214718,0.704401,0.588482,0.104707,0.222197,0.06989,0.179805,0.521234,0.32983,Mountain,West
Nebraska,2005,148761,210037,1083695,0.189266,0.707531,0.558761,0.056205,0.148031,0.033056,0.144345,0.460118,0.294751,West North Central,Midwest
Nevada,2005,206623,246089,1551580,0.160847,0.603183,0.554939,0.074912,0.164848,0.051306,0.120243,0.428973,0.313343,Mountain,West
New Hampshire,2005,113655,136775,860562,0.18355,0.710255,0.646228,0.084034,0.248431,0.049345,0.130488,0.473938,0.257009,New England,Northeast
New Jersey,2005,741478,844005,5639515,0.194446,0.666188,0.600204,0.063321,0.159104,0.034579,0.127613,0.431514,0.24694,Middle Atlantic,Northeast
New Mexico,2005,173970,226724,1183171,0.170256,0.580682,0.478725,0.076983,0.169075,0.039085,0.146736,0.469961,0.272075,Mountain,West
New York,2005,1587906,2106543,12383739,0.192407,0.64243,0.576736,0.07735,0.202385,0.048078,0.119163,0.416882,0.269183,Middle Atlantic,Northeast
North Carolina,2005,723206,900033,5515308,0.144721,0.546164,0.45608,0.069681,0.156353,0.037976,0.141809,0.473567,0.312097,South Atlantic,South
North Dakota,2005,50524,84579,394935,0.19657,0.733371,0.600394,0.044932,0.110343,0.028588,0.15258,0.475763,0.292033,West North Central,Midwest
Ohio,2005,977997,1249533,7288639,0.172436,0.660751,0.537245,0.069614,0.165579,0.042052,0.157056,0.50887,0.331802,East North Central,Midwest
Oklahoma,2005,295821,415188,2187319,0.157179,0.534364,0.431303,0.062553,0.130567,0.036467,0.161883,0.501547,0.369228,West South Central,South
Oregon,2005,297574,395092,2383671,0.183095,0.607879,0.580184,0.082137,0.185677,0.060349,0.140944,0.440944,0.261474,Pacific,West
